0002-9122	American Journal of Botany	print
0011-183X	Crop Science	print
0012-9658	Ecology	print
0197-9337	Earth Surface Processes and Landforms	print
1051-0761	Ecological Applications	print
1052-7613	Aquatic Conservation: Marine and Freshwater Ecosystems	print
1551-3777	Integrated Environmental Assessment and Management	print
1612-1872	Chemistry &amp; Biodiversity	print
1932-8486	The Anatomical Record	print
2045-7758	BMC Ecology and evolution	None
2048-3694	Food and Energy Security	electronic
2150-8925	Ecosphere	electronic
2572-4517	Paleoceanography and Paleoclimatology	print
2578-4854	Conservation Science and Practice	electronic
2688-8319	Ecological Solutions and Evidence	electronic
0030-8870	Pacific science	print
0032-7786	Preslia	print
0107-055X	Nordic Journal of Botany	print
0028-0836	nature	print
0035-4902	Rhodora	print
1988-3196	Anales del Jardín Botánico de Madrid	online
2349-8234	Journal of Pharmacognosy and Phytochemistry	print
0014-3820	Evolution	print
0083-7792	Webbia	electronic
2625-8498	Vertebrate Zoology	online
0048-9697	Science of The Total Environment	print
0168-8162	Experimental and Applied Acarology	online
0304-3770	Aquatic Botany	print
1658-077X	Journal of the Saudi Society of Agricultural Sciences	print
0960-4286	Edinburgh Journal of Botany	online
2399-3642	Communications Biology	electronic
0738-9388	The Festivus	print
1756-0500	BMC research notes	None
2041-210X	Methods in Ecology and Evolution	electronic
0024-3590	Limnology and Oceanography	print
0962-8436	Philosophical Transactions of the Royal Society B: Biological Sciences	print
2316-9079	Phyllomedusa: Journal of Herpetology	online
0006-9698	Breviora	print
2084-8838	Animal Migration	electronic
0007-4977	Bulletin of Marine Science	print
1867-1594	Palaeobiodiversity and Palaeoenvironments	print
1010-061X	Journal of Evolutionary Biology	printa
1043-4534	Harvard Papers in Botany	print
2296-701X	Frontiers in Ecology and Evolution	electronic
1063-5157	Systematic biology	print
1210-0420	Thaiszia – Journal of Botany	electronic
1545-1542	Journal of Mammalogy	electronic
2162-4372	Annals of the Missouri Botanical Garden	online
0044-5134	ZOOLOGICHESKY ZHURNAL	online
0167-8809	Agriculture, Ecosystems &amp; Environment	print
2054-5703	Royal Soceity Open Science	web
1535-1459	River Research and Applications	print
0165-0521	Studies on Neotropical Fauna and Environment	print
1096-3642	Zoological Journal of the linnean Society	online
1755-0874	Plant Ecology & Diversity	print
2327-2929	Aliso	online
0028-646X	New Phytologist	print
0031-7683	Philippine Journal of Science	electronic
0038-3872	Bulletin of the Southern California Academy of Sciences	None
0173-5373	Amphibia-Reptilia	print
2332-4961	Reptiles & Amphibians	None
0031-9422	Phytochemistry	print
0176-1617	Journal of Plant Physiology	print
2071-1050	Sustainability	electronic
0006-324X	Proceedings of the Biological Society of Washington	print
0312-9764	Telopea	print
1314-3301	Nature Conservation	electronic
1054-3139	ICES Journal of Marine Science	print
1741-7007	BMC Biology	None
0011-6793	Darwiniana, nueva serie	print
0032-0889	Plant Physiology	print
0733-1347	Herpetological Monographs	print
1097-993X	Lundellia	print
2703-3090	Megataxa	web
0007-9367	Cactus and Succulent Journal	print
0974-7907	Journal of Threatened Taxa	online
1659-455X	REVMAR.	print
1672-6316	Journal of Mountain Science	print
2215-2075	Revista de Biología Tropical	electronic
0022-1112	Journal of Fish Biology	print
0367-2530	Flora	print
1863-5407	Endangered Species Research	print
1980-220X	University of São Paulo	online
0008-4301	Canadian Journal of Zoology	print
1424-2818	Diversity	electronic
0275-5947	North American Journal of Fisheries Management	print
0360-5442	Energy	print
0027-4100	Bulletin of the Museum of Comparative Zoology	None
1989-8649	Management of Biological Invasions 	electronic
0080-6234	University of São Paulo	print
0378-1127	Forest Ecology and Management	print
1462-2912	Environmental Microbiology	print
0138-9130	Scientometrics	print
0363-6445	Systematic Botany	print
0003-0090	Bulletin of the American Museum of Natural History	None
0960-9822	Current Biology	print
1806-9088	Revista Árvore	electronic
0556-3321	Pakistan Journal of Botany	print
1755-098X	Molecular ecology resources	print
2226-4701	Botanica Pacifica	print
2296-665X	Frontiers in Environmental Science	electronic
1095-5674	Journal of the Torrey Botanical Society	print
1748-9326	Environmental Research Letters	electronic
2468-2659	Plant Diversity	print
0960-3115	Biodiversity and Conservation	print
1474-0036	Edinburgh Journal of Botany	print
0277-3791	Quaternary Science Reviews	print
1280-9551	Zoosystema	print
1808-9798	South American Journal of Herpetology	None
0024-4066	Biological Journal of the Linnean Society	print
0025-3154	Journal of the Marine Biological Association of the United Kingdom	print
1095-8339	Botanical Journal of the Linnean Society	online
2050-084X	eLife	electronic
0888-8892	Conservation biology	print
1439-6092	Organisms Diversity & Evolution	print
1058-5893	International Journal of Plant Sciences	print
2150-8097	Proceedings of the VLDB Endowment	print
2223-7747	plants	print
0085-4417	Nuytsia	print
2007-8706	Revista Mexicana de Biodiversidad	online
0169-5347	Trends in Ecology &amp; Evolution	print
1435-8603	Plant Biology	print
1466-822X	Global Ecology and Biogeography	print
1809-127X	check list	online
0027-8424	Proceedings of the National Academy of Sciences	print
0002-8444	American Fern Journal	print
1095-8312	Biological Journal of the Linnean Society	electronic
1314-2828	Biodiversity Data Journal	electronic
0022-2585	Journal of Medical Entomology	print
2410-3888	Fishes	electronic
2644-1608	Journal of the Botanical Research Institute of Texas	online
2167-8359	PeerJ	electronic
2229-4473	Vegetos	electronic
0008-7475	Castanea	print
0944-1344	Environmental Science and Pollution Research	print
2083-9480	Acta Societatis Botanicorum Poloniae	online
2333-2468	Caribbean Herpetology	online
0034-6667	Review of Palaeobotany and Palynology	print
0264-8377	Land Use Policy	print
1471-2148	BMC Evolutionary Biology	online
1526-498X	Pest Management Science	print
1664-2201	Alpine Botany	print
2197-5620	Forest Ecosystems	print
2278-4136	Journal of Pharmacognosy and Phytochemistry	online
2357-3759	Caldasia	online
0974-7893	Journal of Threatened Taxa	print
1617-1381	Journal for Nature Conservation	print
0373-6687	Journal of bryology	print
1095-8290	Annals of Botany	online
1175-5334	Zootaxa	online
1758-4469	Tree Physiology	electronic
1866-6280	Environmental Earth Sciences	print
2381-9685	Bryophyte Diversity and Evolution	online
1342-1670	Species Diversity	print
1659-407X	REVMAR.	electronic
1476-4687	nature	online
1553-7358	PLOS one computational biology	print
1881-1019	Current herpetology	online
2075-4450	Insects	electronic
2296-7745	Frontiers in Marine Science	electronic
1445-5226	Invertebrate Systematics	print
2075-1117	Russian Journal of Biological Invasions	print
2549-5747	Jurnal Sylva Lestari	electronic
0006-5196	Blumea	print
0110-6465	New Zealand Journal of Ecology	print
0168-9452	Plant Science	print
0022-0477	Journal of Ecology	print
1055-7903	Molecular Phylogenetics and Evolution	None
1178-9913	Zoosystema	web
0040-0262	Taxon	print
0022-1503	Journal of Heredity	print
0947-5745	Journal of Zoological Systematics and Evolutionary Research	print
1758-0463	Database	electronic
0036-8075	science	print
0373-2967	Candollea	print
0511-9618	Willdenowia	print
0747-9859	Evansia	print
0032-9452	Journal of Itchyology	print
0100-6762	Revista Árvore	print
0906-7590	Ecography	print
1345-5834	Current herpetology	print
2673-4133	Ecologies	electronic
2045-2322	Scientific Reports	electronic
0024-4074	Botanical Journal of the Linnean Society	print
0748-3007	cladistics	print
0960-7412	The Plant Journal	print
1545-7885	PLOS one biology	online
1800-427X	TAPROBANICA	print
1867-1616	Marine Biodiversity	print
2041-1723	Nature Communications	electronic
1313-2970	ZooKeys	online
1473-0928	Herpetological Bulletin	print
2766-1512	Journal of Herpetology and Ichthyology	print
2603-9109	Mediterranean Botany	electronic
2340-5074	Acta Botanica Malacitana	electronic
0032-0935	Planta	print
0305-7364	Annals of Botany	print
1095-9203	science	online
2055-0278	Nature Plants	electronic
0022-0957	Journal of Experimental Botany	print
0022-2372	Journal of Mammalogy	print
1354-1013	Global Change Biology	print
1464-3766	Journal of Molluscan Studies	web
1932-6203	PLOS one biology	online
0030-9923	Pakistan Journal of Zoology	None
0131-1379	Arctoa, a Journal of Bryology	print
2352-4855	Regional Studies in Marine Science	print
0065-6275	Aliso	print
1742-9994	Frontiers in Zoology	None
2624-893X	Frontiers in Forests and Global Change	electronic
0033-5894	Quaternary Research	print
0175-8659	Journal of Applied Ichthyology	print
0378-2697	Plant Systematics and Evolution	print
1744-9561	biology letters	print
1814-9332	Climate of the Past	electronic
2085-4722	Biodiversitas Journal of Biological Diversity	electronic
1861-3829	Journal of Plant Diseases and Protection	print
2572-2611	PLANTS, PEOPLE, PLANET	electronic
0006-3207	Biological Conservation	None
2077-1312	Journal of Marine Science and Engineering	electronic
2095-8137	Zoological Research	print
2147-7612	Journal of Insect Biodiversity	electronic
2190-4707	Environmental Sciences Europe	print
1402-2001	Applied Vegetation Science	print
1412-033X	Biodiversitas Journal of Biological Diversity	print
1999-4907	Forests	electronic
2073-445X	Land	electronic
2212-0416	Ecosystem Services	print
0031-0182	Palaeogeography, Palaeoclimatology, Palaeoecology	print
2156-4574	African Journal of Herpetology	print
0171-8630	Marine Ecology Progress Series	print
0305-1978	Biochemical Systematics and Ecology	None
1049-9644	Biological Control	print
1195-6860	Écoscience	print
1543-5008	Annual Review of Plant Biology	print
2079-7737	Biology	electronic
1314-2003	PhytoKeys	electronic
2242-1300	BioInvasions Records	electronic
1585-8553	Community Ecology	print
2007-4476	Botanical Sciences	electronic
1753-5123	Reviews in Aquaculture	print
0018-0831	Herpetologica	print
1528-4972	XRDS: Crossroads, The ACM Magazine for Students	print
1948-6596	Frontiers of Biogeography	electronic
2200-4025	Telopea	online
0102-3306	Acta Botanica Brasilica	print
1005-0094	Biodiversity Science	print
1436-3798	Regional Environmental Change	print
1314-2488	NeoBiota	electronic
1439-0469	Journal of Zoological Systematics and Evolutionary Research	online
1758-678X	Nature Climate Change	print
2041-2851	AoB PLANTS	online
0925-9864	Genetic Resources and Crop Evolution	print
1477-2000	Journal of Systematics and Biodiversity	print
2397-334X	Nature Ecology &amp; Evolution	electronic
0022-2933	Journal of Natural History	print
0720-213X	Zoomorphology	print
1480-3283	Canadian Journal of Zoology	web
1433-8319	Perspectives in Plant Ecology, Evolution and Systematics	print
1460-2431	Journal of Experimental Botany	online
1461-023X	Ecology Letters	print
0067-1924	Australian Journal of Botany	print
0075-5974	Kew Bulletin	print
1741-4288	Evidence-Based Complementary and Alternative Medicine	electronic
0024-4082	Zoological Journal of the linnean Society	print
1026-2296	Russian Journal of Herpetology	print
1940-0829	Tropical Conservation Science	electronic
1532-2548	Plant Physiology	online
1566-0621	Conservation Genetics	print
2297-3362	Frontiers in Built Environment	electronic
2214-7861	Journal of Applied Research on Medicinal and Aromatic Plants	print
2381-8107	Botany Letters	print
2351-9894	Global Ecology and Conservation	print
2405-8440	Heliyon	print
0300-3256	Zoologoica Scripta	print
1290-0796	Cryptogamie Bryologie	print
1850-1699	Darwiniana, nueva serie	electronic
0007-196X	Brittonia	print
1616-1599	Marine Ecology Progress Series	electronic
0260-1230	Journal of Molluscan Studies	print
0891-2963	Historical Biology	print
1522-8339	Native Plants Journal	print
0022-1511	Journal of herpetology	print
0045-8511	Ichthyology and Herpetology	print
0046-5070	Freshwater Biology	print
1439-0426	Journal of Applied Ichthyology	online
2056-3132	BMC Zoology	None
2399-8083	Environment and Planning B: Urban Analytics and City Science	print
1030-1887	Australian Systematic Botany	print
1100-9233	Journal of Vegetation Science	print
1470-160X	Ecological Indicators	print
1612-4758	Journal of Pest Science	print
1866-3516	Earth System Science Data	electronic
0305-0270	Journal of biogeography	print
1366-9516	Diversity and Distributions	print
1420-9101	Journal of Evolutionary Biology	online
1467-2960	Fish and Fisheries	print
1574-9541	Ecological Informatics	print
2589-0042	iScience	print
1465-7333	Journal of Heredity	electronic
0962-1083	Molecular Ecology	print
1664-462X	Frontiers in Plant Science	electronic
1870-3453	Revista Mexicana de Biodiversidad	print
2056-2799	Papers in Palaeontology	print
0025-3162	Marine biology	print
0278-0372	Journal of Crustacean Biology	print
2052-4463	Scientific Data	electronic
0025-326X	Marine Pollution Bulletin	print
0962-8452	Proceedings of the Royal Society B: Biological Sciences	print
1674-4918	Journal of Systematics and Evolution	print
1674-7313	Science China Earth Sciences	print
0001-6977	Acta Societatis Botanicorum Poloniae	print
0975-0932	Research Square	print
0981-9428	Plant Physiology and Biochemistry	print
0147-1724	Southwestern Entomologist	print
0006-3134	Biologia Plantarum	print
0030-1299	Oikos	print
1387-3547	Biological Invasions	print
1938-2928	Journal of Medical Entomology	electronic
0007-2745	The Bryologist	print
0018-8158	Hydrobiologia	print
1076-836X	Systematic biology	online
1422-0067	International Journal of Molecular Sciences	electronic
0026-6493	Annals of the Missouri Botanical Garden	print
0043-1737	Weed Research	print
0740-2783	American Malacological Bulletin	print
1791-6763	Mediterranean Marine Science	electronic
1677-941X	Acta Botanica Brasilica	electronic
2448-7589	Acta Botanica Mexicana	print
0301-4797	Journal of Environmental Management	print
2325-081X	Life: The Excitement of Biology	print
2689-7733	peerj	None
1945-6174	Novon	online
2158-5520	Fieldiana Life and Earth Sciences	print
1759-6653	Genome Biology and Evolution	print
0921-8181	Global and Planetary Change	print
1726-4189	Biogeosciences	electronic
0024-9637	Madroño	print
1095-9289	ICES Journal of Marine Science	electronic
1355-4905	Curtis's Botanical Magazine	print
2575-3789	Ecology and Evolutionary Biology	print
0032-079X	Plant and Soil	print
0206-0477	Proceedings of the Zoological Institute of the Russian Academy of Sciences	print
1360-1385	Trends in Plant Science	print
1872-8855	Arthropod-Plant Interactions	print
0028-825X	New Zealand Journal of Botany	print
1471-2229	BMC Plant Biology	electronic
2530-0644	Perspectives in Ecology and Conservation	print
1055-3177	Novon	print
1179-3163	Phytotaxa	online
2504-3900	Proceedings	electronic
